rank,build_window,brand_fit,asset,format,tool_escalation,distinct_angle,backing_pages,competitors,median_words,total_domains,total_backlinks,backing_urls,angle_gaps
11,NOW,CORE,How to Measure a Real Skills Gap Before You Build a Reskilling Program,Other / editorial,,"Where this page offers only survey-quote color and a now-stale 2022 index stat, ours gives a step-by-step method for mapping current-vs-needed skills per role and refreshes the figures to the current public data.",1,1,1936,170,325,https://www.shrm.org/resourcesandtools/hr-topics/organizational-and-employee-development/pages/employees-fear-employers-dont-offer-enough-career-skills-development.aspx,"[https://www.shrm.org/resourcesandtools/hr-topics/organizational-and-employee-development/pages/employees-fear-employers-dont-offer-enough-career-skills-development.aspx] Strings together vendor quotes (Paylocity, D2L, Expand HR) around a March 2022 University of Phoenix Career Optimism Index and never gives a concrete method for an HR team to identify where its own employees' skills gaps actually are — it names the problem but not a way to measure it."
12,NOW,CORE,Recruiting Metrics: The Exact Formulas and Worked Examples Behind Every One,Listicle,,Shows the precise calculation formula and a worked numeric example for every metric — including adverse impact and quality of hire — where AIHR only narrates definitions without ever showing the math or a defensible compliance calculation.,1,1,4348,166,685,https://www.aihr.com/blog/recruiting-metrics/,"[https://www.aihr.com/blog/recruiting-metrics/] Each of the 23 metrics gets only a short narrative paragraph and no calculation formula is ever shown (e.g. 'time to fill' is explained but never actually computed) — legally significant metrics like adverse impact and quality of hire get the same shallow one-paragraph treatment as minor ones, with certificate-program upsells breaking up the list instead of real depth."
13,NOW,CORE,"How to Decide Who's Ready for the Next Role Using Skill Evidence, Not Tenure",Pillar guide,,"Fills the gap SHRM's toolkit leaves open — where their guide stops at the business case and stats for career pathing, ours adds the actual skills-evidence method for judging promotion-readiness objectively instead of by tenure or manager gut feel.",1,1,4184,159,292,https://www.shrm.org/resourcesandtools/tools-and-samples/toolkits/pages/developingemployeecareerpathsandladders.aspx,"[https://www.shrm.org/resourcesandtools/tools-and-samples/toolkits/pages/developingemployeecareerpathsandladders.aspx] Toolkit's table of contents (Business Case, HR's Role, Legal Issues, Traditional/Nontraditional Paths, Metrics, Expert Advice) stays at the policy-and-stats level — cites engagement/retention figures (e.g. 'nearly a quarter... cited lack of career opportunities') but gives no concrete method for how a manager actually determines an employee is ready for the next rung; there's no skills-evidence framework for promotion decisions."
14,NOW,CORE,The 2021 Recruiting Predictions That Actually Held Up — and What AI Screening Replaced,Opinion / editorial article,,"Revisits the same predictions (virtual hiring becoming standard, internal mobility rising, DE&I focus) with what current public data shows actually happened, and adds the AI-screening shift the 2021 piece couldn't have anticipated.",1,1,2059,158,235,https://www.shrm.org/resourcesandtools/hr-topics/talent-acquisition/pages/2021-recruiting-trends-shaped-by-covid-19.aspx,"[https://www.shrm.org/resourcesandtools/hr-topics/talent-acquisition/pages/2021-recruiting-trends-shaped-by-covid-19.aspx] Built entirely on a single LinkedIn survey of ~1,500 recruiters from early 2021 and pandemic-era predictions (virtual hiring, internal mobility up 20%); it never mentions AI-driven screening or interviewing, which barely existed as a recruiting trend at the time but is now central to how the predicted shifts (volume, speed, remote screening) actually played out."
15,NOW,CORE,How Employers Can Actually Verify the New Skills They Say They Need to Hire For,Data report / original research,,"Moves past SHRM's what's-happening trend stats to the missing how — concrete, sourced ways to verify candidates' claimed skills at the screening stage — refreshed with current 2026 figures where SHRM's Feb 2025 data has aged.",1,1,601,156,435,https://www.shrm.org/topics-tools/research/2025-talent-trends,"[https://www.shrm.org/topics-tools/research/2025-talent-trends] The report gives strong topline diagnostic stats (69% struggling to fill roles, 28% requiring new skills, AI adoption at 43%) but stays purely descriptive — it never addresses HOW organizations should actually verify that candidates hold the 'new skills' roles increasingly require, and its survey was fielded in Feb 2025."
16,NOW,CORE,"Closing the Skills Gap SHRM's 2025 Data Found — Before the Hire, Not After",Data report / original research,,Takes the same skills-gap driver SHRM flags as a top recruiting challenge and answers the practical next step it skips — how skills-based screening closes the exact gap SHRM leaves as a stat rather than a strategy.,1,1,3580,153,274,https://www.shrm.org/topics-tools/research/2025-talent-trends/recruiting,"[https://www.shrm.org/topics-tools/research/2025-talent-trends/recruiting] The report names skills gaps as a top-3 driver of the 69% recruiting-difficulty rate (citing 2024's 75% figure on technical/soft-skill gaps), but its 'What This Means' section only prescribes employer branding, culture storytelling, and total-rewards fixes — it never turns the skills-gap finding it just reported into a hiring-practice response."
17,NOW,CORE,"A Consistent, Legally Defensible Way to Judge Employment Gaps on a Resume",How-to guide,,"Replaces the anecdotal 'ask and listen' guidance with a structured, repeatable evaluation framework and treats adverse-impact/EEOC risk in real depth rather than one closing line — the rigor and defensibility this piece lacks.",1,1,1416,151,219,https://www.shrm.org/resourcesandtools/hr-topics/talent-acquisition/pages/how-to-evaluate-resume-employment-gaps.aspx,"[https://www.shrm.org/resourcesandtools/hr-topics/talent-acquisition/pages/how-to-evaluate-resume-employment-gaps.aspx] Built entirely from anecdotal practitioner quotes plus one 2019 ResumeGo study; offers no consistent, repeatable framework for evaluating gaps across candidates (advice is subjective 'ask and listen'), and only gestures at the discrimination-lawsuit risk in a single closing line without explaining how to build a defensible process."
18,NOW,CORE,What Actually Makes a Psychometric Test Valid (and How to Check Before You Buy One),Product / landing page,,"Names the exact reliability/validity metrics and adverse-impact checks a buyer should demand from any vendor — where this page only asserts 'validity and reliability' as slogans without a single reported coefficient, sample size, or citation.",4,1,2089,147,213,https://mettl.com/psychometric-tests/ ; https://mettl.com/psychometric-tests-india/ ; https://mettl.com/psychometric-tests-chennai ; https://mettl.com/recruitment/psychometrics,"[https://mettl.com/psychometric-tests/] Page asserts 'norming, validity, reliability, standardization' as headline claims but never backs any of them with a number — no reported reliability coefficient, no adverse-impact ratio, no actual sample size beyond 'large sample drawn from different geographies.' It's marketing-speak about rigor with zero verifiable rigor shown. ‖ [https://mettl.com/psychometric-tests-india/] Page asserts 'norming, validity, reliability, standardization' as headline claims but never backs any of them with a number — no reported reliability coefficient, no adverse-impact ratio, no actual sample size beyond 'large sample drawn from different geographies.' It's marketing-speak about rigor with zero verifiable rigor shown. ‖ [https://mettl.com/psychometric-tests-chennai] Page asserts 'norming, validity, reliability, standardization' as headline claims but never backs any of them with a number — no reported reliability coefficient, no adverse-impact ratio, no actual sample size beyond 'large sample drawn from different geographies.' It's marketing-speak about rigor with zero verifiable rigor shown. ‖ [https://mettl.com/recruitment/psychometrics] Page asserts 'norming, validity, reliability, standardization' as headline claims but never backs any of them with a number — no reported reliability coefficient, no adverse-impact ratio, no actual sample size beyond 'large sample drawn from different geographies.' It's marketing-speak about rigor with zero verifiable rigor shown."
19,NOW,CORE,Aptitude Testing for Hiring: The Adverse-Impact Question Vendors Skip,Product / landing page,,"Directly addresses the EEOC/adverse-impact defensibility of cognitive aptitude tests, a compliance question this page's full test catalogue never raises even once.",1,1,3014,135,162,https://mettl.com/aptitude-tests/,"[https://mettl.com/aptitude-tests/] Catalogues 11 aptitude test types (logical reasoning, cognitive speed, spatial reasoning, etc.) each in one generic sentence, but never once raises adverse impact or EEOC-defensibility — the single biggest legal risk with cognitive aptitude testing in hiring — despite this being exactly the kind of test that draws disparate-impact scrutiny."
20,NOW,CORE,Why Skills-Based Hiring Gets Mixed Results — And What the Successful Programs Do Differently,News article,,"Goes past the trend-adoption stats to the practical dividing line the SHRM piece never draws: employers who pair the skills-based pledge with a validated assessment see the gains, those who just drop the degree requirement see the 'mixed results' — a distinction a writer can build from public case studies and existing research on skills-based hiring outcomes.",1,1,386,134,200,https://www.shrm.org/topics-tools/news/all-things-work/skills-based-hiring-new-workplace-trend,"[https://www.shrm.org/topics-tools/news/all-things-work/skills-based-hiring-new-workplace-trend] The piece frames skills-based hiring as 'gaining ground... with mixed results' but (per its title/dek, the only readable content — the body is CMS wreckage) stops at reporting adoption trends and mixed outcomes; it never explains WHY some programs get mixed results while others succeed, i.e. no breakdown of the assessment-design practices (validated skills tests vs. a resume-blind policy with no real test behind it) that separate the wins from the failures."
21,NOW,CORE,The 2026 Hiring Numbers That Prove Skills Tests Beat Resume Screening,Statistics roundup,,"Adds the skills-based-hiring and pre-employment-assessment adoption stats this otherwise-thorough 100-stat roundup omits entirely, closing the one gap in an already strong page.",1,1,14240,127,335,https://www.wecreateproblems.com/blog/recruitment-statistics,"[https://www.wecreateproblems.com/blog/recruitment-statistics] Across 100 well-sourced, well-annotated stats spanning cost-per-hire, sourcing, ATS, and candidate experience, there is not a single stat on skills-based hiring or pre-employment assessment adoption — the page names an assessment tool (WeCP) once in passing but never gives the reader a number on how many companies are actually testing skills pre-hire."
22,NOW,CORE,"The Big Five Traits, Mapped to the Interview Questions That Actually Reveal Them",Definitional explainer,,"Pairs each trait with a worked interview-question set and current research on trait-performance links, closing the gap where Thomas defines each trait but never shows how to probe for it in a real interview.",1,1,3313,127,237,https://www.thomas.co/resources/type/hr-guides/what-are-big-5-personality-traits,"[https://www.thomas.co/resources/type/hr-guides/what-are-big-5-personality-traits] Thomas defines each Big Five trait with pop-psychology examples ('the friend who orders the most exotic thing on the menu') but never shows a recruiter how to actually probe for the trait in an interview — the 'predict behavior at work' and 'best leaders' sections stay abstract, and the page pivots to a Thomas-assessment pitch instead of concrete application."
23,NOW,CORE,Why Job Applications Still Lose 9 in 10 Candidates — and Where the Assessment Step Fits In,News article,,"Refreshes the stale 2022 Appcast/InFlight figures with current public application-funnel data and extends the diagnosis to the assessment step, which the original piece never touches.",1,1,1662,122,210,https://www.shrm.org/resourcesandtools/hr-topics/talent-acquisition/pages/most-people-never-finish-online-job-applications.aspx,"[https://www.shrm.org/resourcesandtools/hr-topics/talent-acquisition/pages/most-people-never-finish-online-job-applications.aspx] The whole piece leans on a single 2022 Appcast/InFlight stat set (92% drop-off, 51 clicks, 4:52 average completion time) with nothing more recent, and it never connects application friction to the assessment step itself — silent on how a poorly designed skills test compounds the exact drop-off it's describing."
24,NOW,CORE,The Trade-offs of AI Proctoring That Never Make the Feature List,Definitional explainer,,"Surfaces the false-positive, privacy, and disability-accommodation trade-offs of AI-based proctoring that this page omits entirely in favor of pure capability listing.",6,2,1994,121,171,https://mettl.com/online-remote-proctoring/ ; https://blog.mettl.com/online-test-exam-proctoring/ ; https://mettl.com/online-remote-proctoring/proctoring-services/ ; https://blog.mettl.com/proctoring-services-and-solution/ ; https://blog.mettl.com/video-image-auto-proctoring/ ; https://blog.mettl.com/prevent-cheating-in-online-exams/,"[https://mettl.com/online-remote-proctoring/] Lists proctoring features (dual camera, AI flags, secure browser, audio proctoring) as pure capability marketing, but never discloses the honest trade-offs — false-positive rates on AI cheating flags, candidate privacy/consent, or accessibility accommodations for candidates with disabilities — despite the brand's own remit calling out 'the honest trade-offs' of proctoring as the subject worth owning. ‖ [https://blog.mettl.com/online-test-exam-proctoring/] Lists proctoring features (dual camera, AI flags, secure browser, audio proctoring) as pure capability marketing, but never discloses the honest trade-offs — false-positive rates on AI cheating flags, candidate privacy/consent, or accessibility accommodations for candidates with disabilities — despite the brand's own remit calling out 'the honest trade-offs' of proctoring as the subject worth owning. ‖ [https://mettl.com/online-remote-proctoring/proctoring-services/] Lists proctoring features (dual camera, AI flags, secure browser, audio proctoring) as pure capability marketing, but never discloses the honest trade-offs — false-positive rates on AI cheating flags, candidate privacy/consent, or accessibility accommodations for candidates with disabilities — despite the brand's own remit calling out 'the honest trade-offs' of proctoring as the subject worth owning. ‖ [https://blog.mettl.com/proctoring-services-and-solution/] Lists proctoring features (dual camera, AI flags, secure browser, audio proctoring) as pure capability marketing, but never discloses the honest trade-offs — false-positive rates on AI cheating flags, candidate privacy/consent, or accessibility accommodations for candidates with disabilities — despite the brand's own remit calling out 'the honest trade-offs' of proctoring as the subject worth owning. ‖ [https://blog.mettl.com/video-image-auto-proctoring/] Lists proctoring features (dual camera, AI flags, secure browser, audio proctoring) as pure capability marketing, but never discloses the honest trade-offs — false-positive rates on AI cheating flags, candidate privacy/consent, or accessibility accommodations for candidates with disabilities — despite the brand's own remit calling out 'the honest trade-offs' of proctoring as the subject worth owning. ‖ [https://blog.mettl.com/prevent-cheating-in-online-exams/] Lists proctoring features (dual camera, AI flags, secure browser, audio proctoring) as pure capability marketing, but never discloses the honest trade-offs — false-positive rates on AI cheating flags, candidate privacy/consent, or accessibility accommodations for candidates with disabilities — despite the brand's own remit calling out 'the honest trade-offs' of proctoring as the subject worth owning."
25,NOW,CORE,"How to Actually Evaluate a Talent Assessment Platform, Beyond the Client Logos",Product / landing page,,"Gives a concrete evaluation framework (test science, proctoring depth, integration breadth) instead of leaning on testimonials and vague trust stats the way this homepage does.",3,1,1325,112,499,https://mettl.com/en/ ; https://mettl.com/en/online-assessment-platform/ ; https://mettl.com/verbal-reasoning-test/,"[https://mettl.com/en/] The homepage is almost entirely client logos, stats badges, and a long wall of testimonials; it never gives a buyer an actual framework for comparing assessment platforms (test science depth, proctoring rigor, integration breadth) — it substitutes social proof for substance. ‖ [https://mettl.com/en/online-assessment-platform/] The homepage is almost entirely client logos, stats badges, and a long wall of testimonials; it never gives a buyer an actual framework for comparing assessment platforms (test science depth, proctoring rigor, integration breadth) — it substitutes social proof for substance. ‖ [https://mettl.com/verbal-reasoning-test/] The page is pure self-promotion — client logos, stats, and testimonials — and never once gives a buyer any framework for evaluating an assessment platform (validity evidence, proctoring depth, integration coverage); it answers 'why us' but never 'what should you actually check before buying any platform.'"
26,NOW,CORE,"Designing Referral Programs That Actually Source Quality Hires, Not Just Warm Bodies",Pillar guide,,"Where SHRM's toolkit shows no visible framework, ours lays out real program mechanics — bonus structuring, eligibility, tracking — tied explicitly to measuring referred-hire quality against a skills bar, not just headcount.",2,1,373,112,499,https://www.shrm.org/resourcesandtools/tools-and-samples/toolkits/pages/tk-designingandmanagingsuccessfulemployeereferralprograms.aspx ; https://www.shrm.org/topics-tools/tools/toolkits/designing-managing-employee-referral-programs,"[https://www.shrm.org/resourcesandtools/tools-and-samples/toolkits/pages/tk-designingandmanagingsuccessfulemployeereferralprograms.aspx] The publicly visible page carries zero program-design content — just a title, 'Recruiting/Sourcing' tags, and three unrelated 'related articles' (well-being tools, 4-day workweek, AI upskilling) filling the space where an actual referral-program framework should be. ‖ [https://www.shrm.org/topics-tools/tools/toolkits/designing-managing-employee-referral-programs] The publicly visible page carries zero program-design content — just a title, 'Recruiting/Sourcing' tags, and three unrelated 'related articles' (well-being tools, 4-day workweek, AI upskilling) filling the space where an actual referral-program framework should be."
27,NOW,CORE,How to Actually Screen for Soft Skills When a Degree Doesn't Prove Them,News article,,"Picks up exactly where this piece stops — diagnosing the gap — and adds the missing half: concrete methods for assessing soft skills in candidates, which the original never covers.",1,1,1804,110,225,https://www.shrm.org/resourcesandtools/hr-topics/employee-relations/pages/employers-say-students-arent-learning-soft-skills-in-college.aspx,"[https://www.shrm.org/resourcesandtools/hr-topics/employee-relations/pages/employers-say-students-arent-learning-soft-skills-in-college.aspx] Diagnoses the soft-skills gap in college grads at length (anecdotes, a 2019 SHRM stat) but never once addresses how an employer would actually measure or screen for soft skills in hiring — it stops at 'this is a problem' with no assessment path forward."
28,NOW,CORE,"How to Actually Evaluate a Candidate's Product Demo Delivery, Not Just Their Knowledge of It",Definitional explainer,,"Swaps this page's generic quiz/written-response suggestions for a concrete live-demo evaluation rubric and example prompt, closing the gap between what's being hired for and how this page says to test it.",1,1,2267,107,125,https://www.alooba.com/skills/concepts/sales/product-demos/,"[https://www.alooba.com/skills/concepts/sales/product-demos/] Recommends only a multiple-choice 'Concepts & Knowledge' test and a written-response test to evaluate a hands-on, performative skill (delivering a live demo) — never suggests a practical rubric or example demo prompt suited to what's actually being hired for."
29,NOW,CORE,How the 2023 Skills-Based Hiring Numbers Hold Up Against Today's Public Data,Data report / original research,,"Re-checks each 2023 claim (cost-to-hire, mis-hire, retention deltas) against current publicly available benchmarks and folds in the AI-hiring shift the original survey predates — closing a currency gap rather than re-surveying anyone.",1,1,13390,107,190,https://www.testgorilla.com/skills-based-hiring/state-of-skills-based-hiring-2023/,"[https://www.testgorilla.com/skills-based-hiring/state-of-skills-based-hiring-2023/] The headline figures (74% reduced cost-to-hire, 89% improved retention) come from an April-2023 survey and the report never mentions AI's role in hiring at all — a topic that becomes central in TestGorilla's own 2025 report two years later, so the numbers and framing are now stale."
30,NOW,CORE,What AI Interviewing Actually Looks Like Inside Recruiting Teams Now,News article,,Refreshes the January 2024 SHRM survey with current adoption data and unpacks the AI-interviewing use case the original piece buries in one vague statistic.,1,1,1063,105,336,https://www.shrm.org/topics-tools/news/technology/ai-adoption-hr-is-growing,"[https://www.shrm.org/topics-tools/news/technology/ai-adoption-hr-is-growing] Built on a single SHRM survey fielded in January 2024 and now dated; it reports AI adoption at a broad HR level (64% in talent acquisition) but stays shallow on AI interviewing specifically, lumping resume screening, candidate communication, and search automation into one vague 33% figure without distinguishing them."
31,NOW,CORE,"Building a Legally Defensible, Bias-Reducing Hiring and Selection Process in 2026",How-to guide,,"delivers the actual step-by-step, EEOC/adverse-impact-grounded guidance on reducing bias at the hiring and selection stage that SHRM's page never renders (broken embed placeholders only, no real body content).",1,1,399,104,161,https://www.shrm.org/resourcesandtools/tools-and-samples/how-to-guides/pages/how-to-develop-a-diversity-and-inclusion-initiative.aspx,"[https://www.shrm.org/resourcesandtools/tools-and-samples/how-to-guides/pages/how-to-develop-a-diversity-and-inclusion-initiative.aspx] The page's entire body failed to render — only the title, date, and topic tags remain; broken 'embed component' placeholders sit where the actual step-by-step content on building an inclusion program should be, leaving zero real guidance despite ranking for a compliance-focused query."
32,NOW,CORE,"Why Only 1 in 5 Companies Track Quality of Hire, and How the Rest Can Start",Data report / original research,,"Answers the question SHRM's release raises but never resolves — how the tracking minority actually measures quality of hire — and gives the other 80% a way to start, no membership paywall required.",1,1,943,103,296,https://www.shrm.org/about/press-room/shrm-releases-2025-benchmarking-reports--how-does-your-organizat,"[https://www.shrm.org/about/press-room/shrm-releases-2025-benchmarking-reports--how-does-your-organizat] The press release only teases headline numbers (e.g., 'only 20% track quality of hire') without explaining how that 20% actually measures it or what the other 80% should do — the full report sits behind SHRM membership."
33,NOW,CORE,Which Skills-Based Hiring Numbers Actually Hold Up: Auditing the 2022 Claims Against Multiple Current Sources,Data report / original research,,"Checks the specific 2022 skills-based hiring claims (92.5% fewer mis-hires, 91.1% higher diversity) against current public benchmarks, then triangulates each surviving figure across multiple independent surveys, so readers get one vetted set of defensible numbers instead of two competing single-method checks.",2,1,1123,101,217,https://www.testgorilla.com/state-of-skills-based-hiring-2022/ ; https://www.testgorilla.com/blog/skills-based-hiring-statistics/,"[https://www.testgorilla.com/state-of-skills-based-hiring-2022/] 2022 figures (89.8% cost-to-hire reduction, 92.5% fewer mis-hires) are presented with almost no methodology detail and padded with 15+ testimonial quotes instead of analysis — over three years on, none of the headline stats have been checked against anything more recent. ‖ [https://www.testgorilla.com/blog/skills-based-hiring-statistics/] Nearly every one of the 52 stats traces to a single source — TestGorilla's own 'State of Skills-Based Hiring' survey — with no external corroboration from SHRM, LinkedIn, Deloitte, or Gallup, and the page cuts off mid-list, funneling readers to a gated 'handbook' instead of finishing the picture."
