post_id	phrases
1p8k684	intern refused any pay, unpaid free labour, exploitative internship offer, no meaningful code excuse
1opbf1c	unreachable commission targets, nobody hits quota, asking about real earnings, walked out of interview
1mpbrm4	mandatory blood drive participation, boss padding manager stats, medical privacy violation
1mwf5cc	AI lecture recommendation, not needed for SWE, vibe coding origin
1ovx9nr	brutal CS job market, easier to reach NBA
1nq97gf	employee overemployment suspicion, second full-time job, performance still good
1nihrir	lying backstabbing new hire, document everything, fire within probation
1udujvg	fake interview malware scam, fake job postings, apply directly company site
1lvn993	insulting feedback sent candidate, personality culture-fit rejection, email wrong recipient
1pfnn0x	right to disconnect, after-hours work calls, won't be enforced
1lpwy62	tech mass layoffs, constant layoff fear, FAANG no longer stable
1sdkw9z	outdated parental job advice, hand resume in person, nowhere takes in-person applications
1t5xr2o	don't judge appearances, humble successful professionals
1no2id4	toxic dismissive interviewer, withdrew after interview, interview reveals company culture
1tvg8jn	job search after layoff, daily application grind, tier-1 hiring preference
1oeua90	can't get hired, ghosted after interviews, built project for jobs
1obonv6	oncall during holiday, AWS outage chaos, working during festival
1qqfgk4	employee single point of failure, need backup cross-training, let team take time off
1nxxj9a	PIPs always end in firing, wrongful termination paper trail, legal liability risk
1omx86l	out of touch entitled, won't hire ex-Amazon, Amazon work culture unwanted
1nbkvnc	no honest feedback, punished for giving feedback, form peer alliances
1o95zv3	only hire single guys, no work-life balance, startup grind culture, possibly illegal discrimination
1o6hb0e	won't negotiate within range, lowball offer lost candidate, employer's market
1ra48qc	networking beats online applications, referrals get interviews, can't find hiring manager
1rteomh	vibe coder can't code, how did he pass interview, AI kills labor market
1r5my44	catching interview cheaters easily, AI interview cheating tools, leetcode interviews broken
1mknxjx	forced office notice period, no leave during notice, get everything in writing
1tchmgq	executive pay amid layoffs, AI as scapegoat, layoffs blamed on AI
1lzl3hx	AI-first layoffs, replaced by AI pod, AI is overhyped scapegoat
1s8qy30	Oracle mass layoffs, cold 6am layoff email, AI bubble misallocation
1qiwdqa	refused recognition award, insulting 2% raise, meaningless employee-of-month
1sm6a4c	coffee chat networking, informational interview outreach, job hunt humiliation
1nt8eko	last-minute lowball offer, bait and switch, declined the offer
1lv8vjn	asking about salary, salary talk taboo, ask pay upfront
1n0yysn	rejected over grades, clients lie rejections, nitpicking to exclude
1n3reu8	be first applicant, apply within 24hours, resume customization overrated
1mdcgh3	raise used to quit, too little too late, underpaid top performer
1ufbwvp	compliant not qualified, degree as compliance, just lie
1o22u1k	indie game demo release
1t15bb9	explaining resume gaps, honest gap answers, career break family
1ma4i05	stop hiring Indians, offshoring tech jobs, H-1B abuse
1qpcc2d	mass corporate layoffs, execs spared from layoffs, cutting staff to boost bonuses
1s04ili	months-long job search, hundreds of resumes sent, finally got an offer
1potj30	client lowballing top candidate, dragged-out interview process, recruiters should negotiate salary
1m952bp	personal coding side project, side projects over degree
1mt0ekr	brutal job market, under-10-applicants filter, being an early applicant
1r32a25	ATS keyword matching, resumes never surfaced, docx over pdf resume
1sfuaro	fake interview scam, interview conducted over email, resume specialist upsell scam
1lnu6v8	skipping CS fundamentals, need math and statistics
1o36mjj	lying about salary ranges, bait-and-switch pay, lowballed during interview
1sfw7o5	refuse to absorb layoff slack, let things fail deliberately, executives avoid consequences
1rv81ia	hostile reaction to counteroffer, guilt-tripping over negotiation, underpaying valued candidate
1pq5gaz	disrespectful interviewer behavior, trust your gut feeling, candidate assesses employer too
1mdcl9n	no ethics in tech, AI push feels evil, profit over morals
1oexljh	CEO-led startup interview, vague personality-test questions, hiring for personality
1n6nk56	AI hiring bubble, companies under-hiring, offshoring will accelerate
1sfxnau	WFH employee lying hours, remote work monitoring logs, manage by deliverables
1ojbebq	self-approving first PR, borrowing coworker credentials
1pqjore	ad blocking legality, client-side ad blocking, ads not legal entitlement
1np3o82	blocked promotion promise, broken pay-rise promise, top performers leave
1pa3xz9	faking competing offer, fabricated offer letter, salary negotiation lie
1p06g8t	road contract transparency app, contractor corruption danger, host anonymously for safety
1qqd37p	tripling salary switching jobs, tailoring resume per role, determining market value
1t3gbbu	thousands of apps no offers, resume quality problem, tailor applications to roles
1rt62gb	Meta layoffs for AI, engineering sidelined by AI, devs burning out
1nhbs59	1300-day leetcode streak, grinding without clearing interviews, job-hopping red flag
1mmx040	cs grad unemployment, offshoring not AI, AI doom loop
1nv4vkb	no safety net, thrown out after 40, high tax burden
1qc7ake	meta bay area layoffs, metaverse money pit, stack ranking layoffs
1tkccsi	blindly pasting AI output, losing ability to reason, engineers own their PRs
1lofy1t	manager regret, glorified babysitters, prefer IC role
1ozlobb	escaped toxic manager, leaving toxicity liberating, landed big tech offer
1sd1mk9	html css project, no jobs available
1p2l3y8	gpu optimization win, real engineering skills
1lym1qd	fake founder titles, undergrad ceo inflation, resume title inflation
1mtzb36	vibe coding mockery, poorly built product, usage limit bypass
1ssm4am	soft skills over technical, arrogance loses offers, team cohesion matters
1oo6ml7	report city waste, involve local authorities, prevent fake reports
1o479rh	blatant coding cheating, candidate can't explain solution, using AI in interviews
1mc1byh	accidentally found out fired, let them fire you, file for unemployment
1mddh04	don't micromanage Gen Z, clear expectations build trust
1u81t0h	AI-driven mass layoffs, 90% tech roles cut, devs are dime-a-dozen
1nno6ei	moving away from H1bs, hiring US citizens, shifting to offshore hubs
1nln213	H1-B fee hike, Indian brain drain, job market gets worse
1o29tge	fixing broken AI code, AI code vulnerabilities, vibe-coded MVP breaks
1qcvz7o	lightweight native PDF editor, bloated mobile apps
1mgm08w	old-school PC nostalgia
1td9vnt	timing and luck, skill still matters
1q3g7to	freelance income growth, landing foreign clients, underpaid hourly rate
1sxyx3n	CS enrollment dropping, gold rush over, ME/EE will saturate
1lyjs8d	forced Windows laptop, no Linux option, Windows not dev OS
1meq3lv	learn to code betrayal, no experience unemployed, AI bots auto-applying
1udssl4	North Korean impostor hire, stolen identity remote, can't get interview
1rqjc77	got job tough market, brain-fart on basics, interview nerves
1lsktlz	Meta poaching AI talent, US vs China AI
1rgqxh2	RTO kills childcare flexibility, RTO forces quiet quitting, soften the delivery
1mlgwky	AI cheating obvious, stop using AI interviews, in-person interviews solve
1mtwz4c	CS job market floundering, honest professor doom, suspected fake post
1lpe76e	jobs outsourced to India, outsourcing worse than AI, no entry-level roles
1oe522u	report wants decision authority, shadowing to learn fine, above her paygrade
1tc02xm	job fairs waste time, CS degree regret, leetcode gatekeeping
1towli9	reviewing AI-generated PRs, authors don't understand code, plausible-looking AI bugs
1mhnd12	managers who don't manage, no IC work removed, understaffed, no headcount
1ntp9lo	ghost job listings, prewired internal hires, impossible job market
1slp30t	coding going away, still hiring engineers, AI-assisted, not replaced
1mrfgm2	juniors uninterested in engineering, disengaged for a paycheck, won't invest in growth
1rai4g9	time theft, falsified time cards, escalate to HR
1nhx4x6	North Korean fake candidates, fabricated resumes and credentials, insists fully remote
1mnzqxl	disgusted by PIP, PIP over single absence, legally scripted verbatim
1slijiq	toxic high performer, protect team without losing numbers, separate her from team
1o7jwzg	fired someone secretly important, invisible essential work, replacements underperform
1pt4yxh	miss having juniors, junior hiring collapse, losing mentorship
1sgcy1e	giving up on quality, only visibility gets rewarded, clean code never rewarded
1meqxc2	weight of being trusted, trust enables real leadership, building trust as manager
1oq74un	leaving for 90% raise, guilt leaving invested manager, good manager celebrates departure
1n7zuba	brag document habit, tracking accomplishments for reviews, self-marketing gaming promotions
1n7eahh	resenting coworkers taking PTO, policing others' attendance, possibly dumping work
1n2s22u	interview dress code, candidate came off arrogant, letting candidates self-sabotage
1tqfcfj	architecture is communication, solving problems without code, managing stakeholders
1nq5npn	AI-generated PR replies, respond in own words, content pollution burden
1n5xc3s	engineering culture and attrition, harsh feedback standards, women attrition in tech
1o5w834	law against ghosting candidates, recruiter accountability, enforcement doubts
1tysnmi	declining software quality, unvetted AI-generated code, enshittification of software
1lwk503	AI perceived vs actual speed, AI slows experienced devs, AI for boilerplate only
1on84au	coding isn't the hard part, essential complexity of requirements, no silver bullet
1n74jad	job market after layoff, ageism in hiring, AI replacing juniors
1rnkv2t	AI coding productivity myth, junior hiring collapse, AI slop
1pi82ib	technical debt repayment date, toxic vs intentional debt, missed repayment dates
1mha63e	just let me build, management overhead, avoid the promotion
1se1g7m	fake loading latency, perceived performance UX, AI bot post
1pntmta	reporting racist coworker, top performer protected, document the incident
1r89vhp	checked out mood, layoffs and offshoring, AI raising expectations
1r9x049	owner is the bottleneck, undocumented processes, systems and processes
1sivput	finding business ideas, market timing, AI-written content skepticism
1pwfx9l	engineer visibility tactics, brag doc, career self-promotion
1nbfh94	standups as status reports, standup micromanagement, unblocking never happens
1sfawfb	unpaid family labor, leave the business, sue for lost wages
1me6nps	vibe coders sling slop, AI-first job listings, experienced devs paid for rewrites
1o5mfjm	free giveaway breeds entitlement, no good deed goes unpunished, cut off abusive recipient
1rcbykx	years of undercharging, raised prices lost worst clients, revenue up fewer hours
1poemw0	allergy-unsafe work event, boss forcing attendance, document in writing to HR
1sqtvxz	interview while employed, negotiate from strength, no time to interview
1ndxmta	HR broke confidentiality, one-person HR department, told coworker who complained
1ta5a5o	LinkedIn DM cold outreach, AI-generated recruiter messages, outreach mostly ignored
1s0fm90	employee complaints via ChatGPT, AI too verbose, AI replacing legal advice
1otzyf2	disclose relationship to HR, surprise paternity at work, keep it factual
1r7of81	landed job zero experience, entry-level data center tech, brutal 24/7 on-call
1ma04es	no shortcut to six figures, unrealistic entry expectations, influencers selling courses
1t4i6pw	startup stress transforms, customers teach more than advisors, build tolerance for chaos
1snww7w	senior engineers clearing tickets, IT cost-cutting backfires, interrupt-driven ticket work
1twro01	cloud provider suspension, leaked API key abuse, backups same ecosystem
1u2eac7	IT career progression, salary jump skepticism, AI/ML pay leap
1sedxcc	abusive job candidate, self-selected out, job-hopping resume
1qfq40e	HR seen as useless, HR produces no revenue, HR prevents liability
1nlffj7	H-1B visa fee, offshoring acceleration, talent shortage
1s9sak7	HR april fools, workplace pranks
1mk3we6	inventory risk, net 60 terms, big customer bad terms
1pig7u1	perpetual intern title, change resume title, no raise promotion
1mi8vnz	four-day work week, burnout and retention, measuring productivity
1od7j5k	stopped giving discounts, hagglers hardest customers, hold your prices
1ra7mwd	refusing to train replacement, passed over for promotion, age discrimination
1qdmgaj	scope creep charges, retaliatory 1-star review, responding to bad review
1m88t4b	resume employment gap, explaining career gaps, retire the gap question
1me3laj	racial slur at work, HR dismissing harassment, complaint in writing
1mywp7p	tariff threatening business, single-market dependence, cutting costs to survive
1rz15ui	fake compliance reports, SOC 2 fraud, startup faking certifications
1qfdosp	bad client referral, losing anchor client, trusting your gut
1r9403h	flirting with HR, inappropriate workplace advances
1rujqw4	fired by family business, wording termination on resume, reason for leaving job
1slf670	employee brought a lawyer, froze in disciplinary meeting, HR delivering discipline
1m2dpgy	executive affair scandal, third-party investigation, conflict of interest
1ms8qvp	not landing interviews, ghost jobs, applicant screening software
1noofdl	employee hygiene conversation, employee disputing feedback, keeping complainants confidential
1tn7d00	fired with no warning, address issues as they arise, written warnings paper trail
1rean2l	HR department of one, HR burnout, wish for an assistant
1n5ohbj	unprofessional interview background, couldn't follow simple instructions, abruptly ended interview
1npydua	laid off aftermath, brutal job market, long job search
1lptmof	software dev to IT, tough new-grad market, as long as you're happy
1p17d8b	client crying poor, discount on a sob story, vet clients first
1otuw7c	escape the 9-5, desk job mental health, running a business is worse stress
1mbz88x	unemployed to remote job, pivot into IT, certs to get hired
1qfjv5y	role eliminated on maternity leave, FMLA protection, restructure during leave
1tbfwum	business slowing down, clients ghosting, economic uncertainty pullback
1q0flx5	startup success after years, startup isolation, founder mental health
1rm6jq3	cut no-shows with texting, texts durable calls arent, AI-generated spam post
1pclgy1	need experience to get experience, trades not greener, physical toll of trades
1oez2al	unpredictable self-employed income, income anxiety never settles, build a cash cushion
1m0dipl	too small to sue, solo needs liability insurance, form an LLC
1o8zqpq	client is half revenue, nightmare high-value client, raise their price instead, set and enforce boundaries
1ot2azu	companies suppressing negative reviews, mass-reporting to trigger removals
1lvb6ea	certs and degree low pay, IT pays too little, entry-level IT wages stagnant
1pzw57g	can't bypass entry level, no experience means bottom, companies underpay on purpose
1n8j5r6	homeless smell near business, compassionate handling not policing, odor spray or wipes
1n33ojb	100k without a degree, IT six figures no bachelors, salary depends on company
1ofji17	clarity beats skills, hardest part finding clarity, reads like AI slop
1o3qimp	subreddit crushed my dreams, rebranded true to self, believe your work has value
1pdax88	employee faking expense reports, employee stole reimbursements, bookkeeper should have caught it
1mc4kly	monetizing my experience, online guides are scams, cutting into retirement
1poaanl	big competitor copying product, get a patent, licensing or reselling deal
1qc5srv	employees demanding W-2s early, ignoring self-service portal, every year the same
1sbxjcc	breaking into IT, age doesn't matter, consistency over years
1m25nxx	H1B visa abuse, layoffs alongside H1B filings, nothing we can do
1mi2cgu	rejected candidate harassment, emailed the exec team, don't add candidates on LinkedIn
1pc4i3t	no interview responses, photos on resumes, use Jake's resume template
1lrskmr	trades over college, trade job boom saturation, physical toll on body
1rb2lh4	charging no-show deposits, losing revenue to no-shows, test with data not feelings, reminder texts reduce no-shows
1rrvc7e	culture fit blamed, environment mismatch not character, management failings
1oqvzo0	underpaid support staff, pay equity review, empathy in HR, compliance still matters
1s56uty	candidates priced out, salary ranges in postings, companies suppressing wages
1n50dxd	LinkedIn Recruiter overpriced, broken boolean search, low InMail response rates
1qqdcbh	six figures help desk, fully remote high pay, help desk rarely six figures
1sekapw	accidentally sent interview recording, unprofessional recruiter comments, leave Glassdoor review
1nxapg9	AI recruiting tools useless, built by non-recruiters, recruiting is about people
1tpfie6	passed SPHR fast, exam is reading comprehension, pick the best answer
1q3g8zb	employees not updating address, W-2 questions dread
1o7drib	termination felt intimidating, three people too many, gender dynamic termination
1m9fl4k	doubled salary job hopping, loyalty is dead, job hopping seen negatively
1qis6wa	burnout one-person IT, better work-life balance, convert salary to hourly
1odeha1	ask for 100k, 100k the new 50k, know your market rate
1pfc8cw	SHRM discrimination verdict, SHRM increasingly irrelevant, stop getting SHRM certs
1skes0r	low callback rate, tailoring resume to posting, ATS keyword matching
1noh7z3	difficult employee termination, preparing termination with legal, toxic employee removal
1nwkp7n	build in public, attracting VC attention, ideas can't be stolen
1oe8him	can't filter for competence, resume keyword gaming, stop screening for GPA
1t2w2ql	tell me about yourself, structuring your answer, framing not memory test
1tlnxwa	CompTIA price increase, certification ROI, Network+ is worthless
1psmdby	password reset overload, users won't self-serve, users don't read instructions
1nlnu7z	H1B fee kills startups, big tech talent moat, startups don't use H1B
1nd3ija	breaking into IT, CompTIA trifecta success, landing help desk job
1s48g1j	resume signals age, ageism in hiring, remove graduation year
1mwgs0e	retroactive commission change, commission clawback, can't change pay retroactively
1mj3ihg	IT career progression, job hopping for pay, take career risks
1oex6aw	vibe coding risks, AI-generated MVP, no understanding of code
1qqb9kh	HR vent thread, weird resume interests, odd applicant details
1lw0f9a	age discrimination job posting, illegal age limit, discriminatory job description
1p6gglk	coworker can't troubleshoot, what have you tried, lack of self-sufficiency
1skdb7x	remote cleaning business, vetting subcontractor crews
1o96fg4	candidates refusing camera, fake job candidates, catfish applicants
1qm355q	exit interview after termination, declining exit interview
1pvey5r	HR seen as villains, HR protects the company
1p6f8zb	show level not history, lead with accomplishments, resume framing matters
1r7z763	lost startup equity, vesting and agreements, early equity risk
1nmapst	optimize LinkedIn profile, recruiter visibility, suspicious success story
1t47ng7	inflated resume GPA, no one checks GPA, ask forgiveness not permission
1r0hbs3	accept new role or fired, doubled workload low pay, HR not involved
1tcvmhu	unpaid internship red flags, asking about revenue, small startup with HR
1rfzdko	no entry level jobs, certs but no job, entry requires 3 years
1u3i8f5	report affair to HR, boss-subordinate relationship, get a lawyer instead
1qei6om	too direct communication, AI to soften tone, corporate-speak translation
1lr4dzb	richest person you know, wealth is inherited, real estate wealth
1njgtwo	WFH accommodation denied, doctor's note ignored, ADA interactive process
1sckmxd	performance improvement plan joke
1tgi34h	senior experience junior pay, no real talent shortage, unrealistic job requirements
1rueh11	manager inappropriate behavior, asked to lie, workplace power imbalance
1lw14u1	automating unwanted tasks, replacing vs augmenting employees, no customer discovery
1m1zole	loyalty over money, emotional not financial decision, pay transparency fallout
1ostbi4	college ROI debate, networking not degree, elite education hypocrisy
1sczfjo	tech startups rarely enrich, most startups fail, bet all savings
1s7tjj2	candidate asked if pregnant, never appropriate question, poor judgment red flag
1oec07f	candidates using AI answers, recruiters started AI first, miss in-person interviews
1q63i3f	junior candidates interview poorly, AI-polished elevator pitches, unprofessional zoom interviews
1pylg24	problem slide wins investors, traction needs context, clarity beats cleverness
1n11xse	rejected for too perfect, vague rejection reasons, fear of flight risk
1mn2g0a	service before product, start with revenue, serial startup failures
1u0ub56	fired employee's wife emailed, do not respond, wrongful termination risk
1ne318p	hibernate LinkedIn profile, prevent recruiter poaching, company policy red flag
1miu768	candidate using AI answers, ask probing questions, AI face filter
1s3xvix	PTO clawback after termination, accrued vs annual PTO, manager approval irrelevant
1q4l32f	coworker rearranged my office, took boss's keys, not HR's job
1p08qzv	ChatGPT apps opportunity, platform dependency risk, OpenAI copies winners
1r6efr9	ads disguised as posts, AI-generated fake posts, tool promotion spam
1r9659a	hungry team over resume, paid assessment predicts performance, free users bad feedback
1oi1zhr	Singapore company registration, already done by others, local director requirement
1n0wf37	no-restrictions return policy, ADA reasonable accommodation, lawsuit liability fears
1rbmab1	fear of being fired, preventing retaliation, HR monitoring review
1rn45nz	PR agency execution work, unmeasurable press attribution, pitch from founder email
1u7zqlt	hesitant job market, scams destroying trust, unfair pay demands
1roalg0	anonymous fraud accusation, stick with your hire, bitter rival sabotage
1pwqnax	opposite-sex coworker dinners, spouse discomfort matters, bad optics
1t3jwmw	North Korean fake applicants, fraudulent remote candidates, spot on video call
1seq609	bloated interview process, too many interview stages, signals slow decision-making
1nkks8w	hiring managers want unicorns, won't budge on requirements, roles sit open for months
1nz1ivd	CV gaps over-scrutinized, normalize career breaks, gaps assumed to be firing
1oo7d07	worst time to build, impossible to build moat, distribution is only edge
1lq1axg	MySpace vs Facebook, real names built trust, cluttered UX drove users away
1nxsiwd	startup dying, salary stopped arriving, founder conflict destroyed company
1lx796l	a human read my resume, celebrating an interview, not screened by AI
1npbu7w	job market fundamentals, don't self-eliminate applying, resume filename matters
1ohexl2	career switch resume rewrite, translate jargon for recruiters, gear resume to target job
1tqtaub	wired reqs never open, lose to internal candidate, evergreen resume-harvesting postings
1rsjsv5	unusual interview questions, teach something unrelated, reveals candidate thinking
1pc53zq	print to PDF for ATS, outdated ATS can't read, avoid columns and tables
1po0gip	new grad can't land job, internships aren't real experience, tech job market dead
1tgx4y4	rounding up GPA, GPA doesn't matter, leave GPA off resume
1p90cy8	recruiter coffee invites, rapport building, recruiter KPIs
1tk2gm4	stuck minimum wage jobs, breaking into IT, get into trades
1o1b9ak	corporate word salad, sounding professional vs human, ATS keywords
1refk0c	brutal job search
1ttrt35	lying on resume, faking software experience, getting caught lying
1m495n7	geographic bias, non-local rejection, leave address off resume
1nlcxvf	empathy in recruiting, interview rustiness, illegal interview questions
1n95sty	client rate cut, willing to walk, unprofitable contract
1qcxr5v	bait-and-switch hiring event, job seekers as props, self-serving PR stunt
1rfbz1t	negotiating search firm fees, guarantee period clauses, payment schedule leverage
1npli6y	candidate ghosting, pay transparency legislation, salary range disclosure
1r2q6ni	turning around bad interview, authenticity over rehearsed answers, honest ownership of mistakes
1nm3z9c	degree requirement over experience, outdated hiring checkboxes, rejecting skilled candidates
1o01gie	keyword-based screening rejects, great candidates auto-rejected, ATS filtering transferable skills
1sk3urh	candidate accepts other offer, pay better to retain, always have backup candidate
1rx0zy0	reason for rejecting candidates, can't explain individual contribution, rejection about vibe fit
1q73abu	one-way video interviews, power imbalance in hiring, lazy bulk filter
1r83w9l	developers ignoring recruiter outreach, inbox saturation from recruiters, AI outreach flooding inboxes
1tpvitj	hiring manager delays, offering 2021 salaries, salary based on current pay
1mia8v9	recruitment commission reductions, varies by sector, declining recruiter pay
1m6gk8x	hiring managers as bottleneck, delayed interview feedback, candidates drop out
1rcb8hp	making CV stand out, specificity and numbers, companies worked at
1ryo60i	vague rejection feedback, recruiters hunting for keywords, hiring managers should screen
1r1t85m	salary hidden until call, wasting time screening, state salary upfront
1psasvo	ghosted after positive interview, kept as backup candidate, follow up again
1t07sz5	context-based outreach works, InMails ignored, outreach doesn't scale
1p50vs0	resume 7-second scan, relevant experience first, non-negotiable qualifications check
1s35fhh	overqualified candidate dilemma, risk is flight, send with transparency
