post_id	tension
1nno6ei	T14
1nln213	T105
1o29tge	T48
1qcvz7o	T180
1mgm08w	misc
1td9vnt	T22
1q3g7to	T104
1sxyx3n	T12
1lyjs8d	T166
1meq3lv	T22
1udssl4	T39
1rqjc77	T125
1lsktlz	T102
1rgqxh2	T149
1mlgwky	T158
1mtwz4c	T22
1lpe76e	T14
1oe522u	misc
1tc02xm	T115
1towli9	T99
1mhnd12	T88
1ntp9lo	T05
1slp30t	T102
1mrfgm2	T87
1rai4g9	T28
1nhx4x6	T39
1mnzqxl	T27
1slijiq	T164
1o7jwzg	T101
1pt4yxh	T22
1sgcy1e	T59
1meqxc2	T72
1oq74un	T120
1n7zuba	T82
1n7eahh	T150
1n2s22u	T92
1tqfcfj	T49
1nq5npn	T141
1n5xc3s	misc
1o5w834	T19
1tysnmi	T100
1lwk503	T98
1on84au	T49
1n74jad	T128
1rnkv2t	T98
1pi82ib	misc
1mha63e	T63
1se1g7m	misc
1pntmta	T163
1r89vhp	T87
1r9x049	T97
1sivput	T178
1pwfx9l	T82
1nbfh94	T63
1sfawfb	T02
1me6nps	T48
1o5mfjm	T169
1rcbykx	T07
1poemw0	T137
1sqtvxz	T68
1ndxmta	T163
1ta5a5o	T05
1s0fm90	T65
1otzyf2	T33
1r7of81	T29
1ma04es	T43
1t4i6pw	T52
1snww7w	misc
1twro01	T78
1u2eac7	T43
1sedxcc	T41
1qfq40e	T131
1nlffj7	T105
1s9sak7	T80
1mk3we6	T78
1pig7u1	T89
1mi8vnz	T06
1od7j5k	T07
1ra7mwd	T89
1qdmgaj	T64
1m88t4b	misc
1me3laj	misc
1mywp7p	misc
1rz15ui	misc
1qfdosp	T64
1r9403h	T130
1rujqw4	T173
1slf670	T80
1m2dpgy	T33
1ms8qvp	T26
1noofdl	T40
1tn7d00	T101
1rean2l	T94
1n5ohbj	T55
1npydua	T128
1lptmof	T22
1p17d8b	misc
1otuw7c	misc
1mbz88x	T22
1qfjv5y	T35
1tbfwum	T32
1q0flx5	T104
1rm6jq3	T148
1pclgy1	T29
1oez2al	T85
1m0dipl	T106
1o8zqpq	T78
1ot2azu	T81
1lvb6ea	T76
1pzw57g	T22
1n8j5r6	misc
1n33ojb	T43
1ofji17	T36
1o3qimp	T104
1pdax88	T28
1mc4kly	T104
1poaanl	misc
1qc5srv	T95
1sbxjcc	T43
1m25nxx	T14
1mi2cgu	T04
1pc4i3t	T93
1lrskmr	T112
1rb2lh4	T64
1rrvc7e	T13
1oqvzo0	T118
1s56uty	T47
1n50dxd	T124
1qqdcbh	T43
1sekapw	T21
1nxapg9	T177
1tpfie6	T25
1q3g8zb	T95
1o7drib	T80
1m9fl4k	T68
1qis6wa	T06
1odeha1	T02
1pfc8cw	T40
1skes0r	T30
1noh7z3	T164
1nwkp7n	T53
1oe8him	T61
1t2w2ql	T36
1tlnxwa	T70
1psmdby	T95
1nlnu7z	T105
1nd3ija	T22
1s48g1j	T109
1mwgs0e	T129
1mj3ihg	T43
1oex6aw	T48
1qqb9kh	T13
1lw0f9a	T23
1p6gglk	T95
1skdb7x	T104
1o96fg4	T139
1qm355q	T57
1pvey5r	T18
1p6f8zb	T58
1r7z763	T52
1nmapst	T161
1t47ng7	T31
1r0hbs3	T111
1tcvmhu	T117
1rfzdko	T22
1u3i8f5	T33
1qei6om	T65
1lr4dzb	misc
1njgtwo	misc
1sckmxd	misc
1tgi34h	T56
1rueh11	misc
1lw14u1	misc
1m1zole	misc
1ostbi4	T153
1sczfjo	T107
1s7tjj2	T41
1oec07f	T139
1q63i3f	T55
1pylg24	T36
1n11xse	T13
1mn2g0a	T136
1u0ub56	T106
1ne318p	T68
1miu768	T139
1s3xvix	T77
1q4l32f	T165
1p08qzv	misc
1r6efr9	T138
1r9659a	T58
1oi1zhr	misc
1n0wf37	T137
1rbmab1	T163
1rn45nz	T38
1u7zqlt	T24
1roalg0	T39
1pwqnax	T33
1t3jwmw	T39
1seq609	T24
1nkks8w	T56
1nz1ivd	T10
1oo7d07	T32
1lq1axg	T100
1nxsiwd	T136
1lx796l	T26
1npbu7w	T05
1ohexl2	T30
1tqtaub	T16
1rsjsv5	T86
1pc53zq	T17
1po0gip	T22
1tgx4y4	T31
1p90cy8	T53
1tk2gm4	T85
1o1b9ak	T65
1refk0c	T01
1ttrt35	T31
1m495n7	T13
1nlcxvf	T125
1n95sty	T07
1qcxr5v	T38
1rfbz1t	T127
1npli6y	T19
1r2q6ni	T122
1nm3z9c	T03
1o01gie	T61
1sk3urh	T92
1rx0zy0	T13
1q73abu	T117
1r83w9l	T124
1tpvitj	T147
1mia8v9	T129
1m6gk8x	T147
1rcb8hp	T05
1ryo60i	T61
1r1t85m	T116
1psasvo	T19
1t07sz5	T53
1p50vs0	T03
1s35fhh	T13
