phrase,tension,source_post_ids
resume gap questions,T10,1u7u3o6
wording termination on resume,T10,1rujqw4
AI as scapegoat,T11,1tchmgq
AI is overhyped scapegoat,T11,1lzl3hx
AI kills labor market,T11,1rteomh
AI replacing juniors,T11,1n74jad
AI replacing legal advice,T11,1s0fm90
AI replacing software engineers,T11,1m1uw9v
AI won't replace engineers,T11,1mk8zj6
AI-driven mass layoffs,T11,1u81t0h
AI-first layoffs,T11,1lzl3hx
engineering sidelined by AI,T11,1rt62gb
layoffs blamed on AI,T11,1tchmgq
replacing juniors with AI,T11,1mvid8s
replacing vs augmenting employees,T11,1lw14u1
CS degree devalued,T12,1rh0kou
CS degree regret,T12,1tc02xm
CS enrollment dropping,T12,1sxyx3n
college ROI debate,T12,1ostbi4
finance bro vs tech bro,T12,1ogsqs4
gold rush over,T12,1sxyx3n
juniors uninterested in engineering,T12,1mrfgm2
learn to code betrayal,T12,1meq3lv
learn to code lie,T12,1qwkjfg
quitting CS career,T12,1mcop22
tech millionaire lifestyle,T12,1ogsqs4
tech startups rarely enrich,T12,1sczfjo
arbitrary candidate rejection,T13,1qpo21d
keyword-based screening rejects,T13,1o01gie
nitpicking to exclude,T13,1n0yysn
non-local rejection,T13,1m495n7
odd applicant details,T13,1qqb9kh
overqualified rejection,T13,1ql25o4
personality culture-fit rejection,T13,1lvn993
reason for rejecting candidates,T13,1rx0zy0
rejected for desperation vibes,T13,1ok0mi8
rejected for too perfect,T13,1n11xse
rejected over grades,T13,1n0yysn
rejection about vibe fit,T13,1rx0zy0
H-1B abuse,T14,1ma4i05
H1B visa abuse,T14,1m25nxx
hiring US citizens,T14,1nno6ei
jobs outsourced to India,T14,1lpe76e
layoffs alongside H1B filings,T14,1m25nxx
layoffs and offshoring,T14,1r89vhp
moving away from H1bs,T14,1nno6ei
offshoring acceleration,T14,1nlffj7
offshoring not AI,T14,1mmx040
offshoring tech jobs,T14,1m7zvlx 1ma4i05
offshoring will accelerate,T14,1n6nk56
shifting to offshore hubs,T14,1nno6ei
cutting staff to boost bonuses,T15,1qpcc2d
execs spared from layoffs,T15,1qpcc2d
executive pay amid layoffs,T15,1tchmgq
executives avoid consequences,T15,1sfw7o5
greedy executives,T15,1r5kxed
managers cutting headcount,T15,1mk8zj6
out of touch CEO,T15,1muz9kp
pandemic overhiring excuse,T15,1ohnh7q
pay equity review,T15,1oqvzo0
refuse to absorb layoff slack,T15,1sfw7o5
workers are disposable pawns,T15,1ohnh7q
evergreen resume-harvesting postings,T16,1tqtaub
hiring managers decide early,T16,1rvnpnf
hiring on vibes,T16,1ok0mi8
internal candidate preferred,T16,1tcz6a3
jobs filled internally,T16,1ti8s8h
networking beats online applications,T16,1ra48qc
pre-selected internal candidate,T16,1pszdaz
prewired internal hires,T16,1ntp9lo
referral beats merit,T16,1qzituj
referrals get interviews,T16,1ra48qc
tier-1 hiring preference,T16,1tvg8jn
ATS filtering transferable skills,T17,1o01gie
ATS keyword matching,T17,1r32a25 1skes0r
ATS keywords,T17,1o1b9ak
docx over pdf resume,T17,1r32a25
hand resume in person,T17,1sdkw9z
print to PDF for ATS,T17,1pc53zq
recruiters hunting for keywords,T17,1ryo60i
resume filename matters,T17,1npbu7w
resume keyword gaming,T17,1oe8him
translate jargon for recruiters,T17,1ohexl2
use Jake's resume template,T17,1pc4i3t
HR broke confidentiality,T18,1ndxmta
HR delivering discipline,T18,1slf670
HR dismissing harassment,T18,1me3laj
HR dropped the ball,T18,1mkkvrb
HR held to standards,T18,1rykl1t
HR monitoring review,T18,1rbmab1
HR not involved,T18,1r0hbs3
HR prevents liability,T18,1qfq40e
HR protects the company,T18,1pvey5r
HR seen as villains,T18,1pvey5r
not HR's job,T18,1q4l32f
delayed interview feedback,T19,1m6gk8x
ghosted after interviews,T19,1oeua90
ghosted after offer,T19,1r8ckd2
ghosted after positive interview,T19,1psasvo
ghosted by recruiters,T19,1qxizav
ghosted then contacted,T19,1syi8l7
hiring manager delays,T19,1tpvitj
law against ghosting candidates,T19,1o5w834
no interview feedback,T19,1lzrd8r
no interview responses,T19,1pc4i3t
bait and switch,T20,1nt8eko
bait and switch offer,T20,1n8g50s
bait-and-switch hiring event,T20,1qcxr5v
bait-and-switch pay,T20,1o36mjj
fake remote listings,T20,1r13b1k 1t606n3
fully remote high pay,T20,1qqdcbh
ghost job listings,T20,1ntp9lo
misleading job location,T20,1r13b1k
shifting job goalposts,T20,1ql25o4
disrespectful interviewer behavior,T21,1pq5gaz
harsh feedback standards,T21,1n5xc3s
harsh interview feedback,T21,1qr7m2m
insulting feedback sent candidate,T21,1lvn993
judgmental recruiters,T21,1ok0mi8
recruiter bridge-burning threats,T21,1pdar5o
toxic dismissive interviewer,T21,1no2id4
unprofessional hiring communication,T21,1sbkgxi
unprofessional recruiter comments,T21,1sekapw
CS job market floundering,T22,1mtwz4c
IT career progression,T22,1mj3ihg 1u2eac7
breaking into IT,T22,1nd3ija 1sbxjcc 1tk2gm4
brutal CS job market,T22,1ovx9nr
cs grad unemployment,T22,1mmx040
entry-level IT wages stagnant,T22,1lvb6ea
junior dev jobs,T22,1r89r35
junior hiring collapse,T22,1pt4yxh 1rnkv2t
pivot into IT,T22,1mbz88x
SHRM discrimination verdict,T23,1pfc8cw
age discrimination,T23,1ra7mwd
age discrimination hiring,T23,1s9ikc5
age discrimination job posting,T23,1lw0f9a
ageism in hiring,T23,1n74jad 1s48g1j
discriminatory job description,T23,1lw0f9a
hiring bias discrimination,T23,1my63u8
illegal age limit,T23,1lw0f9a
possibly illegal discrimination,T23,1o95zv3
bloated interview process,T24,1seq609
dragged-out interview process,T24,1potj30
endless interview process,T24,1muxy4k
excessive hiring process,T24,1qc3u51
months-long hiring process,T24,1nq7ns4
roles sit open for months,T24,1nkks8w
too many interview rounds,T24,1muxy4k 1n1sfym 1nq7ns4 1qc3u51
too many interview stages,T24,1seq609
wasted interview rounds,T24,1tcz6a3
automated coding assessments,T25,1r0ezba
exam is reading comprehension,T25,1tpfie6
framing not memory test,T25,1t2w2ql
leetcode gatekeeping,T25,1tc02xm
leetcode interviews broken,T25,1r5my44
question with no right answer,T25,1rvkcwo
skipping CS fundamentals,T25,1lnu6v8
teach something unrelated,T25,1rsjsv5
vague personality-test questions,T25,1oexljh
a human read my resume,T26,1lx796l
applicants archived unread,T26,1qxg9vv
employers ignore applications,T26,1syi8l7
great candidates auto-rejected,T26,1o01gie
not landing interviews,T26,1ms8qvp
recruiters didn't read resume,T26,1r967sx
rejected over resume interest,T26,1qpo21d
resume screened out,T26,1qzk4sj
resumes never surfaced,T26,1r32a25
accept new role or fired,T27,1r0hbs3
building termination case,T27,1sfcu04
difficult employee termination,T27,1noh7z3
fire within probation,T27,1nihrir
gender dynamic termination,T27,1o7drib
performance improvement plan joke,T27,1sckmxd
preparing termination with legal,T27,1noh7z3
wrongful termination paper trail,T27,1nxxj9a
wrongful termination risk,T27,1u0ub56
WFH employee lying hours,T28,1sfxnau
employee faking expense reports,T28,1pdax88
employee overemployment suspicion,T28,1nq97gf
employee stole reimbursements,T28,1pdax88
falsified time cards,T28,1rai4g9
remote work monitoring logs,T28,1sfxnau
retail petty lateness,T28,1sfcu04
time theft,T28,1rai4g9
can't bypass entry level,T29,1pzw57g
entry requires 3 years,T29,1rfzdko
internships aren't real experience,T29,1po0gip
landed job zero experience,T29,1r7of81
need experience to get experience,T29,1pclgy1
no experience means bottom,T29,1pzw57g
no experience unemployed,T29,1meq3lv
years experience required,T29,1rsl4uv
career switch resume rewrite,T30,1ohexl2
change resume title,T30,1pig7u1
gear resume to target job,T30,1ohexl2
relevant experience first,T30,1p50vs0
resume customization overrated,T30,1n3reu8
tailor applications to roles,T30,1t3gbbu
tailoring resume per role,T30,1qqd37p
tailoring resume to posting,T30,1skes0r
career self-promotion,T31,1pwfx9l
inflated resume GPA,T31,1t47ng7
job-hopping resume,T31,1sedxcc
lead with accomplishments,T31,1p6f8zb
making CV stand out,T31,1rcb8hp
resume framing matters,T31,1p6f8zb
resume title inflation,T31,1lym1qd
wants applicants to stand out,T31,1qpo21d
business slowing down,T32,1tbfwum
cutting costs to survive,T32,1mywp7p
economic downturn timing,T32,1qwkjfg
economic uncertainty pullback,T32,1tbfwum
inventory risk,T32,1mk3we6
market timing,T32,1sivput
tariff threatening business,T32,1mywp7p
worst time to build,T32,1oo7d07
affair with coworker,T33,1rykl1t
boss-subordinate relationship,T33,1u3i8f5
disclose relationship to HR,T33,1otzyf2
executive affair scandal,T33,1m2dpgy
opposite-sex coworker dinners,T33,1pwqnax
report affair to HR,T33,1u3i8f5
surprise paternity at work,T33,1otzyf2
workplace power imbalance,T33,1rueh11
accidentally found out fired,T34,1mc1byh
cold 6am layoff email,T34,1s8qy30
fired with no warning,T34,1tn7d00
ghosted after layoff,T34,1roudce
laid off via email,T34,1s9bz1x
laid off via text,T34,1n2ncbs
salary stopped arriving,T34,1nxsiwd
termination felt intimidating,T34,1o7drib
PIP over single absence,T35,1mnzqxl
no leave during notice,T35,1mknxjx
oncall during holiday,T35,1obonv6
one hour to mourn,T35,1rvha36
personal time disregarded,T35,1rkldbw
punished for one minute late,T35,1sfcu04
restructure during leave,T35,1qfjv5y
role eliminated on maternity leave,T35,1qfjv5y
avoid columns and tables,T36,1pc53zq
keep it factual,T36,1otzyf2
need math and statistics,T36,1lnu6v8
pick the best answer,T36,1tpfie6
respond in own words,T36,1nq5npn
specificity and numbers,T36,1rcb8hp
structuring your answer,T36,1t2w2ql
test with data not feelings,T36,1rb2lh4
anything that gives you pause,T37,1rvnpnf
fear of flight risk,T37,1n11xse
poor judgment red flag,T37,1s7tjj2
profiled as video gamer,T37,1my63u8
richest person you know,T37,1lr4dzb
risk is flight,T37,1s35fhh
signals slow decision-making,T37,1seq609
spouse discomfort matters,T37,1pwqnax
PR agency execution work,T38,1rn45nz
attracting VC attention,T38,1nwkp7n
pitch from founder email,T38,1rn45nz
self-marketing gaming promotions,T38,1n7zuba
self-serving PR stunt,T38,1qcxr5v
suspicious success story,T38,1nmapst
tool promotion spam,T38,1r6efr9
unmeasurable press attribution,T38,1rn45nz
North Korean fake applicants,T39,1t3jwmw
North Korean impostor hire,T39,1udssl4
catfish applicants,T39,1o96fg4
fabricated resumes and credentials,T39,1nhx4x6
fake job candidates,T39,1o2kjdo 1o96fg4
fraudulent remote candidates,T39,1t3jwmw
lying on resume,T39,1ttrt35
employee disputing feedback,T40,1noofdl
glassdoor filters bad reviews,T40,1rg4wxs
mining bad glassdoor reviews,T40,1rg4wxs
punished for giving feedback,T40,1nbkvnc
retaliatory 1-star review,T40,1qdmgaj
toxic employer red flags,T40,1pbh79a
vindictive former boss,T40,1sh2o6c
Amazon work culture unwanted,T41,1omx86l
abusive job candidate,T41,1sedxcc
candidate came off arrogant,T41,1n2s22u
lying backstabbing new hire,T41,1nihrir
rejected candidate harassment,T41,1mi2cgu
toxic high performer,T41,1slijiq
won't hire ex-Amazon,T41,1omx86l
ADA interactive process,T42,1njgtwo
ADA reasonable accommodation,T42,1n0wf37
FMLA protection,T42,1qfjv5y
employer respecting grief,T42,1rvha36
mandatory blood drive participation,T42,1mpbrm4
medical privacy violation,T42,1mpbrm4
withholding pay illegal,T42,1p4yhsb
100k the new 50k,T43,1odeha1
100k without a degree,T43,1n33ojb
IT six figures no bachelors,T43,1n33ojb
ask for 100k,T43,1odeha1
help desk rarely six figures,T43,1qqdcbh
leaving for 90% raise,T43,1oq74un
six figures help desk,T43,1qqdcbh
empathy in HR,T44,1oqvzo0
empathy in recruiting,T44,1nlcxvf
job seekers as props,T44,1qcxr5v
recruiter KPIs,T44,1p90cy8
recruiter accountability,T44,1o5w834
recruiter commission incentive,T44,1pdar5o
recruiting is about people,T44,1nxapg9
asked to work free,T45,1oto36c
doubled workload low pay,T45,1r0hbs3
stated vs actual hours,T45,1rkldbw
underpaid for overwork,T45,1pbh79a
unpaid extra work,T45,1mbf6iu
unpaid free labour,T45,1p8k684
unpaid overtime expectations,T45,1pbh79a
kind rejection email,T46,1qgf4p1
mass rejection emails,T46,1rtxijj
personal rejection feedback,T46,1qr7m2m
personalized rejection,T46,1qgf4p1
vague rejection feedback,T46,1ryo60i
vague rejection reasons,T46,1n11xse
years-late application response,T46,1syi8l7
asking about salary,T47,1lv8vjn
pay transparency fallout,T47,1m1zole
pay transparency legislation,T47,1npli6y
salary range disclosure,T47,1npli6y
salary ranges in postings,T47,1s56uty
salary talk taboo,T47,1lv8vjn
state salary upfront,T47,1r1t85m
blindly pasting AI output,T48,1tkccsi
plausible-looking AI bugs,T48,1towli9
vibe coders sling slop,T48,1me6nps
vibe coding mockery,T48,1mtzb36
vibe coding risks,T48,1oex6aw
vibe-coded MVP breaks,T48,1o29tge
vibe-coded code failures,T48,1mg2r6y
clarity beats cleverness,T49,1pylg24
coding going away,T49,1slp30t
coding isn't the hard part,T49,1on84au
essential complexity of requirements,T49,1on84au
experienced devs paid for rewrites,T49,1me6nps
no silver bullet,T49,1on84au
solving problems without code,T49,1tqfcfj
AI bot post,T50,1se1g7m
AI slop,T50,1nbykth 1rnkv2t
AI-generated fake posts,T50,1r6efr9
AI-generated spam post,T50,1rm6jq3
AI-written post,T50,1mrujpf
reads like AI slop,T50,1ofji17
suspected fake post,T50,1mtwz4c
fabricated offer letter,T51,1pa3xz9
fake interview malware scam,T51,1udujvg
fake interview scam,T51,1sfuaro
fake job trap,T51,1nek3kc
online guides are scams,T51,1mc4kly
resume specialist upsell scam,T51,1sfuaro
lost startup equity,T52,1r7z763
startup grind culture,T52,1o95zv3
startup offer risk,T52,1mrjz3v
startup success after years,T52,1q0flx5
tech industry toxic,T52,1mcop22
toxic startup culture,T52,1p4yhsb
LinkedIn DM cold outreach,T53,1ta5a5o
coffee chat networking,T53,1sm6a4c
context-based outreach works,T53,1t07sz5
informational interview outreach,T53,1sm6a4c
rapport building,T53,1p90cy8
recruiter coffee invites,T53,1p90cy8
don't add candidates on LinkedIn,T54,1mi2cgu
hibernate LinkedIn profile,T54,1ne318p
inbox saturation from recruiters,T54,1r83w9l
recruiter got name wrong,T54,1sbkgxi
recruiter spam,T54,1rtxijj
unprofessional recruiter messages,T54,1r0ezba
accidentally sent interview recording,T55,1sekapw
distracted during interview,T55,1mhy26c
remote interview interruption,T55,1mhy26c
spot on video call,T55,1t3jwmw
unprofessional interview background,T55,1n5ohbj
unprofessional zoom interviews,T55,1q63i3f
no entry level jobs,T56,1rfzdko
no entry-level roles,T56,1lpe76e
no headcount,T56,1mhnd12
no jobs available,T56,1sd1mk9
no real talent shortage,T56,1tgi34h
position already filled,T56,1mkkvrb
company loyalty punishment,T57,1nek3kc
declining exit interview,T57,1qm355q
escaping a toxic employer,T57,1ovyd48
exit interview after termination,T57,1qm355q
forced office notice period,T57,1mknxjx
last day work expectations,T57,1qazv96
GPA doesn't matter,T58,1tgx4y4
hungry team over resume,T58,1r9659a
networking not degree,T58,1ostbi4
qualifications don't matter,T58,1qzituj
side projects over degree,T58,1m952bp
trades over college,T58,1lrskmr
clarity beats skills,T59,1ofji17
likeability beats productivity,T59,1mrujpf
only visibility gets rewarded,T59,1sgcy1e
perceived performance UX,T59,1se1g7m
relationships over skills,T59,1qzituj
soft skills over technical,T59,1mrujpf 1ssm4am
engineering culture and attrition,T60,1n5xc3s
high turnover red flag,T60,1reulsd
losing mentorship,T60,1pt4yxh
loyalty is dead,T60,1m9fl4k
replacements underperform,T60,1o7jwzg
top performers leave,T60,1np3o82
broken boolean search,T61,1n50dxd
clean code never rewarded,T61,1sgcy1e
devs are dime-a-dozen,T61,1u81t0h
execs fixate on code output,T61,1r6olcv
outdated ATS can't read,T61,1pc53zq
self-taught filtered out,T61,1qzk4sj
AI code vulnerabilities,T62,1o29tge
AI coding productivity myth,T62,1rnkv2t
AI perceived vs actual speed,T62,1lwk503
AI raising expectations,T62,1r89vhp
AI-generated code security flaws,T62,1mg2r6y
reviewing AI-generated PRs,T62,1towli9
manage by deliverables,T63,1sfxnau
management overhead,T63,1mha63e
managing stakeholders,T63,1tqfcfj
measuring productivity,T63,1mi8vnz
standups as status reports,T63,1nbfh94
systems and processes,T63,1r9x049
address issues as they arise,T64,1tn7d00
ask pay upfront,T64,1lv8vjn
document everything,T64,1nihrir
get everything in writing,T64,1mknxjx
set and enforce boundaries,T64,1o8zqpq
vet clients first,T64,1p17d8b
AI to soften tone,T65,1qei6om
AI-polished elevator pitches,T65,1q63i3f
corporate word salad,T65,1o1b9ak
corporate-speak translation,T65,1qei6om
rebranded true to self,T65,1o3qimp
sounding professional vs human,T65,1o1b9ak
no fair payoff,T66,1mo2ki0
no raise promotion,T66,1pig7u1
raise used to quit,T66,1mdcgh3
willing to walk,T66,1n95sty
won't negotiate within range,T66,1o6hb0e
dishonest recruiters,T67,1t606n3
fake entry level jobs,T67,1rsl4uv
fake job postings,T67,1muz9kp 1o9erjz 1udujvg
ghost job postings,T67,1swj9jd
lying job postings,T67,1r13b1k
doubled salary job hopping,T68,1m9fl4k
job hopping for pay,T68,1mj3ihg
job hopping seen negatively,T68,1m9fl4k
steady work history demand,T68,1u7u3o6
tripling salary switching jobs,T68,1qqd37p
boss forcing attendance,T69,1poemw0
don't micromanage Gen Z,T69,1mddh04
managers offended by boundaries,T69,1mbf6iu
policing others' attendance,T69,1n7eahh
standup micromanagement,T69,1nbfh94
CompTIA trifecta success,T70,1nd3ija
certification ROI,T70,1tlnxwa
certs to get hired,T70,1mbz88x
passed SPHR fast,T70,1tpfie6
stop getting SHRM certs,T70,1pfc8cw
arrogance loses offers,T71,1ssm4am
countering the offer backfired,T71,1n8g50s
hostile reaction to counteroffer,T71,1rv81ia
lowball offer lost candidate,T71,1o6hb0e
offer promised then delayed,T71,1nq7ns4
building trust as manager,T72,1meqxc2
clear expectations build trust,T72,1mddh04
real names built trust,T72,1lq1axg
trust enables real leadership,T72,1meqxc2
weight of being trusted,T72,1meqxc2
honest feedback valued,T73,1qr7m2m
honest ownership of mistakes,T73,1r2q6ni
sitting with discomfort,T73,1rvkcwo
surfacing unspoken concerns,T73,1rvnpnf
too direct communication,T73,1qei6om
ask forgiveness not permission,T74,1t47ng7
believe your work has value,T74,1o3qimp
take career risks,T74,1mj3ihg
trust your gut feeling,T74,1pq5gaz
trusting your gut,T74,1qfdosp
costume for interview,T75,1u6i4gf
interview humiliation ritual,T75,1u6i4gf
interview is theater,T75,1oqvlzf
interviews are humiliation ritual,T75,1ub3scn
lying in interviews,T75,1r74273
Network+ is worthless,T76,1tlnxwa
certs and degree low pay,T76,1lvb6ea
certs but no job,T76,1rfzdko
no one checks GPA,T76,1t47ng7
no shortcut to six figures,T76,1ma04es
PTO clawback after termination,T77,1s3xvix
W-2 questions dread,T77,1q3g8zb
accrued vacation payout,T77,1o6ib5n
file for unemployment,T77,1mc1byh
sue for lost wages,T77,1sfawfb
big customer bad terms,T78,1mk3we6
client is half revenue,T78,1o8zqpq
net 60 terms,T78,1mk3we6
payment schedule leverage,T78,1rfbz1t
single-market dependence,T78,1mywp7p
AI bots auto-applying,T79,1meq3lv
AI interviewing AI,T79,1o2kjdo
AI outreach flooding inboxes,T79,1r83w9l
AI-generated recruiter messages,T79,1ta5a5o
recruiters started AI first,T79,1oec07f
complaint in writing,T80,1me3laj
keeping complainants confidential,T80,1noofdl
preventing retaliation,T80,1rbmab1
third-party investigation,T80,1m2dpgy
written warnings paper trail,T80,1tn7d00
SOC 2 fraud,T81,1rz15ui
buying Google reviews,T81,1okn7vb
companies suppressing negative reviews,T81,1ot2azu
fake compliance reports,T81,1rz15ui
prevent fake reports,T81,1oo6ml7
brag doc,T82,1pwfx9l
brag document habit,T82,1n7zuba
emailed the exec team,T82,1mi2cgu
engineer visibility tactics,T82,1pwfx9l
candidate asked if pregnant,T83,1s7tjj2
illegal interview questions,T83,1mxgbxi 1nlcxvf
intrusive interview questions,T83,1tft2mv
never appropriate question,T83,1s7tjj2
flooded junior applications,T84,1rh0kou
junior candidates interview poorly,T84,1q63i3f
overqualified screening,T84,1s9ikc5
wasting time screening,T84,1r1t85m
income anxiety never settles,T85,1oez2al
second full-time job,T85,1nq97gf
stuck minimum wage jobs,T85,1tk2gm4
unpredictable self-employed income,T85,1oez2al
interview dress code,T86,1n2s22u
performance based conversation,T86,1ohipo8
tell me about yourself,T86,1t2w2ql
why do you want job,T86,1rqxb54
declining overtime,T87,1mbf6iu
disengaged for a paycheck,T87,1mrfgm2
no one wants to work,T87,1rsl4uv
silent quiet quitting,T87,1mo2ki0
above her paygrade,T88,1oe522u
boss padding manager stats,T88,1mpbrm4
glorified babysitters,T88,1lofy1t
managers who don't manage,T88,1mhnd12
blocked promotion promise,T89,1np3o82
passed over for promotion,T89,1ra7mwd
promotion denied over benefits,T89,1ohipo8
refused recognition award,T89,1qiwdqa
declined the offer,T90,1nt8eko
declining an accepted offer,T90,1pdar5o
rejecting the company,T90,1n1sfym
withdrew after interview,T90,1no2id4
always have backup candidate,T91,1sk3urh
kept as backup candidate,T91,1psasvo
lose to internal candidate,T91,1tqtaub
second choice candidate,T91,1lzrd8r
candidates drop out,T92,1m6gk8x
candidates priced out,T92,1s56uty
letting candidates self-sabotage,T92,1n2s22u
self-selected out,T92,1sedxcc
